WITHOUT restrict
real 0.64
user 0.21
sys 0.00
real 0.16
user 0.16
sys 0.00
real 0.16
user 0.16
sys 0.00
real 0.16
user 0.15
sys 0.00
real 0.17
user 0.17
sys 0.00
real 0.19
user 0.18
sys 0.00
real 0.18
user 0.17
sys 0.00
real 0.18
user 0.18
sys 0.00
real 0.17
user 0.17
sys 0.00
real 0.18
user 0.18
sys 0.00

WITH restrict
real 0.19
user 0.19
sys 0.00
real 0.17
user 0.17
sys 0.00
real 0.18
user 0.18
sys 0.00
real 0.16
user 0.16
sys 0.00
real 0.19
user 0.19
sys 0.00
real 0.18
user 0.18
sys 0.00
real 0.16
user 0.16
sys 0.00
real 0.20
user 0.19
sys 0.00
real 0.19
user 0.18
sys 0.00
real 0.17
user 0.16
sys 0.00
